parameter,location,species,year,datavalue
LGL counts,Bella Coola-Dean Rivers,Chum,1954,167667
LGL counts,Bella Coola-Dean Rivers,Chum,1955,58150
LGL counts,Bella Coola-Dean Rivers,Chum,1956,149253
LGL counts,Bella Coola-Dean Rivers,Chum,1957,99825
LGL counts,Bella Coola-Dean Rivers,Chum,1958,238735
LGL counts,Bella Coola-Dean Rivers,Chum,1959,98856
LGL counts,Bella Coola-Dean Rivers,Chum,1960,101128
LGL counts,Bella Coola-Dean Rivers,Chum,1961,126869
LGL counts,Bella Coola-Dean Rivers,Chum,1962,122272
LGL counts,Bella Coola-Dean Rivers,Chum,1963,287516
LGL counts,Bella Coola-Dean Rivers,Chum,1964,287516
LGL counts,Bella Coola-Dean Rivers,Chum,1965,12319
LGL counts,Bella Coola-Dean Rivers,Chum,1966,156288
LGL counts,Bella Coola-Dean Rivers,Chum,1967,90095
LGL counts,Bella Coola-Dean Rivers,Chum,1968,299889
LGL counts,Bella Coola-Dean Rivers,Chum,1969,99289
LGL counts,Bella Coola-Dean Rivers,Chum,1970,260639
LGL counts,Bella Coola-Dean Rivers,Chum,1971,68373
LGL counts,Bella Coola-Dean Rivers,Chum,1972,270011
LGL counts,Bella Coola-Dean Rivers,Chum,1973,322228
LGL counts,Bella Coola-Dean Rivers,Chum,1974,158526
LGL counts,Bella Coola-Dean Rivers,Chum,1975,107112
LGL counts,Bella Coola-Dean Rivers,Chum,1976,174949
LGL counts,Bella Coola-Dean Rivers,Chum,1977,139245
LGL counts,Bella Coola-Dean Rivers,Chum,1978,31241
LGL counts,Bella Coola-Dean Rivers,Chum,1979,128534
LGL counts,Bella Coola-Dean Rivers,Chum,1980,110084
LGL counts,Bella Coola-Dean Rivers,Chum,1981,56747
LGL counts,Bella Coola-Dean Rivers,Chum,1982,127906
LGL counts,Bella Coola-Dean Rivers,Chum,1983,195763
LGL counts,Bella Coola-Dean Rivers,Chum,1984,154913
LGL counts,Bella Coola-Dean Rivers,Chum,1985,283654
LGL counts,Bella Coola-Dean Rivers,Chum,1986,398335
LGL counts,Bella Coola-Dean Rivers,Chum,1987,186762
LGL counts,Bella Coola-Dean Rivers,Chum,1988,264024
LGL counts,Bella Coola-Dean Rivers,Chum,1989,183331
LGL counts,Bella Coola-Dean Rivers,Chum,1990,405219
LGL counts,Bella Coola-Dean Rivers,Chum,1991,86639
LGL counts,Bella Coola-Dean Rivers,Chum,1992,155511
LGL counts,Bella Coola-Dean Rivers,Chum,1993,200135
LGL counts,Bella Coola-Dean Rivers,Chum,1994,368822
LGL counts,Bella Coola-Dean Rivers,Chum,1995,273591
LGL counts,Bella Coola-Dean Rivers,Chum,1996,262543
LGL counts,Bella Coola-Dean Rivers,Chum,1997,271837
LGL counts,Bella Coola-Dean Rivers,Chum,1998,468273
LGL counts,Bella Coola-Dean Rivers,Chum,1999,282341
LGL counts,Bella Coola-Dean Rivers,Chum,2000,223627
LGL counts,Bella Coola-Dean Rivers,Chum,2001,241990
LGL counts,Bella Coola-Dean Rivers,Chum,2002,322895
LGL counts,Bella Coola-Dean Rivers,Chum,2003,553923
LGL counts,Bella Coola-Dean Rivers,Chum,2004,379279
LGL counts,Bella Coola-Dean Rivers,Chum,2005,185050
LGL counts,Bella Coola-Dean Rivers,Chum,2006,234477
LGL counts,Bella Coola-Dean Rivers,Chum,2007,193219
LGL counts,Bella Coola-Dean Rivers,Chum,2008,65264
LGL counts,Bella Coola-Dean Rivers,Chum,2009,79509
LGL counts,Bella Coola-Dean Rivers,Chum,2010,25133
LGL counts,Bella Coola-Dean Rivers,Chum,2011,273064
LGL counts,Bella Coola-Dean Rivers,Chum,2012,157778
LGL counts,Bella Coola-Dean Rivers,Chum,2013,258059
LGL counts,Bella Coola-Dean Rivers,Chum,2014,54517
LGL counts,Douglas-Gardner,Chum,1954,162270
LGL counts,Douglas-Gardner,Chum,1955,93519
LGL counts,Douglas-Gardner,Chum,1956,65530
LGL counts,Douglas-Gardner,Chum,1957,122122
LGL counts,Douglas-Gardner,Chum,1958,248798
LGL counts,Douglas-Gardner,Chum,1959,48750
LGL counts,Douglas-Gardner,Chum,1960,110888
LGL counts,Douglas-Gardner,Chum,1961,58179
LGL counts,Douglas-Gardner,Chum,1962,240921
LGL counts,Douglas-Gardner,Chum,1963,181838
LGL counts,Douglas-Gardner,Chum,1964,183243
LGL counts,Douglas-Gardner,Chum,1965,152694
LGL counts,Douglas-Gardner,Chum,1966,574084
LGL counts,Douglas-Gardner,Chum,1967,415676
LGL counts,Douglas-Gardner,Chum,1968,721249
LGL counts,Douglas-Gardner,Chum,1969,77807
LGL counts,Douglas-Gardner,Chum,1970,77488
LGL counts,Douglas-Gardner,Chum,1971,71556
LGL counts,Douglas-Gardner,Chum,1972,344398
LGL counts,Douglas-Gardner,Chum,1973,346966
LGL counts,Douglas-Gardner,Chum,1974,352373
LGL counts,Douglas-Gardner,Chum,1975,75671
LGL counts,Douglas-Gardner,Chum,1976,75023
LGL counts,Douglas-Gardner,Chum,1977,83805
LGL counts,Douglas-Gardner,Chum,1978,262421
LGL counts,Douglas-Gardner,Chum,1979,108287
LGL counts,Douglas-Gardner,Chum,1980,118494
LGL counts,Douglas-Gardner,Chum,1981,80864
LGL counts,Douglas-Gardner,Chum,1982,126120
LGL counts,Douglas-Gardner,Chum,1983,23615
LGL counts,Douglas-Gardner,Chum,1984,114251
LGL counts,Douglas-Gardner,Chum,1985,213268
LGL counts,Douglas-Gardner,Chum,1986,292683
LGL counts,Douglas-Gardner,Chum,1987,99866
LGL counts,Douglas-Gardner,Chum,1988,570249
LGL counts,Douglas-Gardner,Chum,1989,353221
LGL counts,Douglas-Gardner,Chum,1990,453760
LGL counts,Douglas-Gardner,Chum,1991,194212
LGL counts,Douglas-Gardner,Chum,1992,144020
LGL counts,Douglas-Gardner,Chum,1993,183787
LGL counts,Douglas-Gardner,Chum,1994,384346
