ID,Species,Sp-CU_Name,CU,HasAgeData,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,CUstoUse,CU2
1,CM,CM-Bella Coola-Dean Rivers,CM_16,No,,,,,,,Area 8,8
2,CM,CM-Bella Coola River-Late,CM_17,Yes,,0.185904351,0.734627832,0.078029486,0.001438332,0,,
3,CM,CM-Douglas-Gardner,CM_20,Yes,,0.201514653,0.693447481,0.104050049,0.000987817,0,,
4,CM,CM-East HG,CM_21,Yes,,0.213582836,0.673657041,0.111469592,0.001290531,0,,
5,CM,CM-Hecate Lowlands,CM_18,Yes,,0.290926099,0.645151232,0.062675398,0.001247272,0,,
6,CM,CM-Lower Nass,CM_31,Yes,,0.054726368,0.796019901,0.139303483,0.009950249,0,,
7,CM,CM-Lower Skeena,CM_27,Yes,,0.142857143,0.857142857,0,0,0,Area 4,4
8,CM,CM-Middle Skeena,CM_28,Yes,,0.019002375,0.893111639,0.085510689,0.002375297,0,Area 4,4
9,CM,CM-Mussel-Kynock,CM_19,No,,,,,,,Area 7,7
10,CM,CM-North Haida Gwaii,CM_24,Yes,,0,0.892857143,0.107142857,0,0,Area 2W,02W
11,CM,CM-North Haida Gwaii-Stanley Creek,CM_25,No,,,,,,,Area 2W,02W
12,CM,CM-Portland Canal-Observatory,CM_32,Yes,,0,0.886792453,0.113207547,0,0,CM-Portland Inlet,CM_30
13,CM,CM-Portland Inlet,CM_30,Yes,,0.14354067,0.693779904,0.157894737,0.004784689,0,,
14,CM,CM-Rivers Inlet,CM_13,Yes,,0,0.666666667,0.333333333,0,0,Smith Inlet,CM_12
15,CM,CM-Skeena Estuary,CM_26,No,,,,,,,Area 4,4
16,CM,CM-Skidegate,CM_22,Yes,,0.054022314,0.75631239,0.186142102,0.003523194,0,,
17,CM,CM-Smith Inlet,CM_12,Yes,,0.464306442,0.485200232,0.050493326,0,0,,
18,CM,CM-Spiller-Fitz-Hugh-Burke,CM_15,No,,,,,,,Area 8,8
19,CM,CM-West Haida Gwaii,CM_23,Yes,,0.08177688,0.695608279,0.211004543,0.011610298,0,,
20,CN,CN-Bella Coola-Bentinck,CN_39,Yes,,0.088214784,0.337517434,0.510111576,0.063458856,0.00069735,,
21,CN,CN-Dean River,CN_40,Yes,,0.027633851,0.221070812,0.601036269,0.150259067,0,,
22,CN,CN-Docee,CN_36,Yes,,0.046153846,0.630769231,0.297435897,0.025641026,0,,
23,CN,CN-Ecstall,CN_46,No,,,,,,,Lower Skeena,CN_48
24,CN,CN-Haida Gwaii-North,CN_43,Yes,,0,0.136986301,0.753424658,0.109589041,0,,
25,CN,CN-Kalum-early timing,CN_49,Yes,,0,0.058103976,0.452599388,0.486238532,0.003058104,Upper Bulkley River,CN_55
26,CN,CN-Kalum-late timing,CN_50,Yes,,0.025572163,0.108827651,0.38346567,0.470340962,0.011793554,,
27,CN,CN-Lower Skeena,CN_48,Yes,,0.006410256,0.564102564,0.288461538,0.134615385,0.006410256,Middle Skeena-mainstem tributaries,CN_54
28,CN,CN-Middle Skeena-large lakes,CN_53,Yes,,0.043180465,0.285288862,0.566408577,0.104228708,0.000893389,,
29,CN,CN-Middle Skeena-mainstem tributaries,CN_54,Yes,,0.03255814,0.260465116,0.465116279,0.237209302,0.004651163,,
30,CN,CN-North & Central Coast-early timing,CN_42,Yes,,0.054441261,0.366762178,0.550143266,0.028653295,0,Area 6,6
