"IndexId","SPECIES_QUALIFIED","POP_ID","CU","CU_Corrected","CU_INDEX","CU_INDEX_CORRECTED"
"CO_50286","CO",50286,"CO_30","CO_28","30","28"
"CO_50291","CO",50291,"CO_30","CO_28","30","28"
"SX_3044","SEL",3044,"SX_L-21-09","SX_L-21-10","L-21-09","L-21-10"
"SX_3055","SEL",3055,"SX_L-21-09","SX_L-21-10","L-21-09","L-21-10"
"SX_3171","SER",3171,"SX_R16","SX_L-19-71","R16","L-19-71"
"SX_45442","SEL",45442,"SX_L-21-09","SX_L-21-10","L-21-09","L-21-10"
"SX_45447","SEL",45447,"SX_L-21-09","SX_L-21-10","L-21-09","L-21-10"
"SX_45497","SEL",45497,"SX_L-21-09","SX_L-21-10","L-21-09","L-21-10"
"SX_49339","SEL",49339,"SX_L-21-09","SX_L-21-10","L-21-09","L-21-10"
"SX_49349","SEL",49349,"SX_L-21-09","SX_L-21-10","L-21-09","L-21-10"
"SX_49374","SEL",49374,"SX_L-21-02","SX_L-21-08","L-21-02","L-21-08"
"SX_51610","SEL",51610,"SX_L-15-03","SX_L-15-02","L-15-03","L-15-02"
"SX_51635","SEL",51635,"SX_L-15-03","SX_L-15-02","L-15-03","L-15-02"
"CM_51771","CM","51771","CM_17","CM_16","17","16"

